No;Tanggal;ss;
1;01/05/2023;6.1;
2;02/05/2023;4.1;
3;03/05/2023;7.5;
4;04/05/2023;4.8;
5;05/05/2023;5.5;
6;06/05/2023;7.2;
7;07/05/2023;4.4;
8;08/05/2023;4.8;
9;09/05/2023;3.3;
10;10/05/2023;6.9;
11;11/05/2023;8.5;
12;12/05/2023;3.9;
13;13/05/2023;10.5;
14;14/05/2023;7.9;
15;15/05/2023;7;
16;16/05/2023;8.7;
17;17/05/2023;7.8;
18;18/05/2023;8.8;
19;19/05/2023;1.8;
20;20/05/2023;3.1;
21;21/05/2023;3.6;
22;22/05/2023;0;
23;23/05/2023;8.9;
24;24/05/2023;7.6;
25;25/05/2023;6.5;
26;26/05/2023;7.8;
27;27/05/2023;7.1;
28;28/05/2023;4.7;
29;29/05/2023;8.2;
30;30/05/2023;5.4;
31;31/05/2023;9;
32;01/06/2023;8.6;
33;02/06/2023;9.5;
34;03/06/2023;8; 
35;04/06/2023;5.7; 
36;05/06/2023;8.4; 
37;06/06/2023;7.4; 
38;07/06/2023;0.8;
39;08/06/2023;8.7;
40;09/06/2023;7.2;
41;10/06/2023;9.4;
42;11/06/2023;8.3;
43;12/06/2023;9.6;
44;13/06/2023;8.6;
45;14/06/2023;5.6;
46;15/06/2023;3.9;
47;16/06/2023;6.1;
48;17/06/2023;0;
49;18/06/2023;0.4;
50;19/06/2023;9.4;
51;20/06/2023;5.7;
52;21/06/2023;9.6;
53;22/06/2023;7.2;
54;23/06/2023;7.7;
55;24/06/2023;7.7;
56;25/06/2023;8.9;
57;26/06/2023;6.5;
58;27/06/2023;8;
59;28/06/2023;9;
60;29/06/2023;9.2;
61;30/06/2023;8.9;
62;01/07/2023;7.5;
63;02/07/2023;7.8;
64;03/07/2023;7.2;
65;04/07/2023;7.2;
66;05/07/2023;5.4;
67;06/07/2023;7.6;
68;07/07/2023;2;
69;08/07/2023;4;
70;09/07/2023;5.5;
71;10/07/2023;4.2;
72;11/07/2023;5.6;
73;12/07/2023;8;
74;13/07/2023;7.8;
75;14/07/2023;8.4;
76;15/07/2023;7.1;
77;16/07/2023;7.4;
78;17/07/2023;8.9;
79;18/07/2023;9.5;
80;19/07/2023;10.4;
81;20/07/2023;9.9;
82;21/07/2023;8.7;
83;22/07/2023;6.5;
84;23/07/2023;5.7;
85;24/07/2023;5.5;
86;25/07/2023;7.6;
87;26/07/2023;5;
88;27/07/2023;4.6;
89;28/07/2023;7.6;
90;29/07/2023;8.6;
91;30/07/2023;4.5;
92;31/07/2023;6.3;
93;01/08/2023;9.4;
94;02/08/2023;10;
95;03/08/2023;2.3;
96;04/08/2023;6.9;
97;05/08/2023;8.9;
98;06/08/2023;8;
99;07/08/2023;8;
100;08/08/2023;7.3;
101;09/08/2023;6.8;
102;10/08/2023;9.6;
103;11/08/2023;9.3;
104;12/08/2023;8.6;
105;13/08/2023;6.8;
106;14/08/2023;7.2;
107;15/08/2023;10;
108;16/08/2023;8.6;
109;17/08/2023;8.8;
110;18/08/2023;8.8;
111;19/08/2023;8;
112;20/08/2023;9.9;
113;21/08/2023;9;
114;22/08/2023;7.5;
115;23/08/2023;6.4;
